,loss,model_loss,d_loss,val_loss
0,25.86837077140808,28.359494924545288,11.752000621386937,13.77528209566913
1,23.27208662033081,25.301548719406128,11.771798457418171,13.891868446758426
2,21.444074153900146,23.140004634857178,11.833802393504552,13.889678075717036
3,20.305738925933838,21.830153465270996,11.667385493006025,13.981670907732951
4,19.383843421936035,20.72141742706299,11.804257903780256,14.162051815402691
5,18.59833288192749,19.791574478149414,11.836629986763,14.330182054886173
6,17.974408388137817,19.0283522605896,12.002058676310948,14.554810658969899
7,17.63599681854248,18.60447406768799,12.147958312715804,14.756734801417316
8,16.965758562088013,17.792630434036255,12.280150209154401,14.96870135481392
9,16.61173975467682,17.365736722946167,12.339090381349836,15.18571456711744
10,16.182191014289856,16.8212833404541,12.560667787279401,15.451482797148753
11,15.975204110145569,16.544564723968506,12.74882618018559,15.790079488445038
12,15.433056235313416,15.869610786437988,12.959248185157778,16.211870379339093
13,15.062796950340271,15.392715573310852,13.193259409495761,16.827804917555536
14,14.33207881450653,14.457396388053894,13.621946419988358,17.73066980702666
15,13.972255229949951,13.93119204044342,14.204945530210223,18.919735841312807
16,13.781232714653015,13.570178985595703,14.977203811917985,20.455791320257347
17,13.255927920341492,12.823983311653137,15.703614166804723,21.641211322345203
18,12.915061116218567,12.318435430526733,16.29593988827297,22.52757688422315
19,12.652804732322693,11.946510076522827,16.655141183308192,22.848317648776256
